DateID,Date,DayofWeek,Month,Quarter,Year,isWeekend
20200626,06/26/20,Friday,6,2,2020,FALSE
20200627,06/27/20,Saturday,6,2,2020,TRUE
20200628,06/28/20,Sunday,6,2,2020,TRUE
20200629,06/29/20,Monday,6,2,2020,FALSE
20200630,06/30/20,Tuesday,6,2,2020,FALSE
20200701,07/01/20,Wednesday,7,3,2020,FALSE
20200702,07/02/20,Thursday,7,3,2020,FALSE
20200703,07/03/20,Friday,7,3,2020,FALSE
20200704,07/04/20,Saturday,7,3,2020,TRUE
20200705,07/05/20,Sunday,7,3,2020,TRUE
20200706,07/06/20,Monday,7,3,2020,FALSE
20200707,07/07/20,Tuesday,7,3,2020,FALSE
20200708,07/08/20,Wednesday,7,3,2020,FALSE
20200709,07/09/20,Thursday,7,3,2020,FALSE
20200710,07/10/20,Friday,7,3,2020,FALSE
20200711,07/11/20,Saturday,7,3,2020,TRUE
20200712,07/12/20,Sunday,7,3,2020,TRUE
20200713,07/13/20,Monday,7,3,2020,FALSE
20200714,07/14/20,Tuesday,7,3,2020,FALSE
20200715,07/15/20,Wednesday,7,3,2020,FALSE
20200716,07/16/20,Thursday,7,3,2020,FALSE
20200717,07/17/20,Friday,7,3,2020,FALSE
20200718,07/18/20,Saturday,7,3,2020,TRUE
20200719,07/19/20,Sunday,7,3,2020,TRUE
20200720,07/20/20,Monday,7,3,2020,FALSE
20200721,07/21/20,Tuesday,7,3,2020,FALSE
20200722,07/22/20,Wednesday,7,3,2020,FALSE
20200723,07/23/20,Thursday,7,3,2020,FALSE
20200724,07/24/20,Friday,7,3,2020,FALSE
20200725,07/25/20,Saturday,7,3,2020,TRUE
20200726,07/26/20,Sunday,7,3,2020,TRUE
20200727,07/27/20,Monday,7,3,2020,FALSE
20200728,07/28/20,Tuesday,7,3,2020,FALSE
20200729,07/29/20,Wednesday,7,3,2020,FALSE
20200730,07/30/20,Thursday,7,3,2020,FALSE
20200731,07/31/20,Friday,7,3,2020,FALSE
20200801,08/01/20,Saturday,8,3,2020,TRUE
20200802,08/02/20,Sunday,8,3,2020,TRUE
20200803,08/03/20,Monday,8,3,2020,FALSE
20200804,08/04/20,Tuesday,8,3,2020,FALSE
20200805,08/05/20,Wednesday,8,3,2020,FALSE
20200806,08/06/20,Thursday,8,3,2020,FALSE
20200807,08/07/20,Friday,8,3,2020,FALSE
20200808,08/08/20,Saturday,8,3,2020,TRUE
20200809,08/09/20,Sunday,8,3,2020,TRUE
20200810,08/10/20,Monday,8,3,2020,FALSE
20200811,08/11/20,Tuesday,8,3,2020,FALSE
20200812,08/12/20,Wednesday,8,3,2020,FALSE
20200813,08/13/20,Thursday,8,3,2020,FALSE
20200814,08/14/20,Friday,8,3,2020,FALSE
20200815,08/15/20,Saturday,8,3,2020,TRUE
20200816,08/16/20,Sunday,8,3,2020,TRUE
20200817,08/17/20,Monday,8,3,2020,FALSE
20200818,08/18/20,Tuesday,8,3,2020,FALSE
20200819,08/19/20,Wednesday,8,3,2020,FALSE
20200820,08/20/20,Thursday,8,3,2020,FALSE
20200821,08/21/20,Friday,8,3,2020,FALSE
20200822,08/22/20,Saturday,8,3,2020,TRUE
20200823,08/23/20,Sunday,8,3,2020,TRUE
20200824,08/24/20,Monday,8,3,2020,FALSE
20200825,08/25/20,Tuesday,8,3,2020,FALSE
20200826,08/26/20,Wednesday,8,3,2020,FALSE
20200827,08/27/20,Thursday,8,3,2020,FALSE
20200828,08/28/20,Friday,8,3,2020,FALSE
20200829,08/29/20,Saturday,8,3,2020,TRUE
20200830,08/30/20,Sunday,8,3,2020,TRUE
20200831,08/31/20,Monday,8,3,2020,FALSE
20200901,09/01/20,Tuesday,9,3,2020,FALSE
20200902,09/02/20,Wednesday,9,3,2020,FALSE
20200903,09/03/20,Thursday,9,3,2020,FALSE
20200904,09/04/20,Friday,9,3,2020,FALSE
20200905,09/05/20,Saturday,9,3,2020,TRUE
20200906,09/06/20,Sunday,9,3,2020,TRUE
20200907,09/07/20,Monday,9,3,2020,FALSE
20200908,09/08/20,Tuesday,9,3,2020,FALSE
20200909,09/09/20,Wednesday,9,3,2020,FALSE
20200910,09/10/20,Thursday,9,3,2020,FALSE
20200911,09/11/20,Friday,9,3,2020,FALSE
20200912,09/12/20,Saturday,9,3,2020,TRUE
20200913,09/13/20,Sunday,9,3,2020,TRUE
20200914,09/14/20,Monday,9,3,2020,FALSE
20200915,09/15/20,Tuesday,9,3,2020,FALSE
20200916,09/16/20,Wednesday,9,3,2020,FALSE
20200917,09/17/20,Thursday,9,3,2020,FALSE
20200918,09/18/20,Friday,9,3,2020,FALSE
20200919,09/19/20,Saturday,9,3,2020,TRUE
20200920,09/20/20,Sunday,9,3,2020,TRUE
20200921,09/21/20,Monday,9,3,2020,FALSE
20200922,09/22/20,Tuesday,9,3,2020,FALSE
20200923,09/23/20,Wednesday,9,3,2020,FALSE
20200924,09/24/20,Thursday,9,3,2020,FALSE
20200925,09/25/20,Friday,9,3,2020,FALSE
20200926,09/26/20,Saturday,9,3,2020,TRUE
20200927,09/27/20,Sunday,9,3,2020,TRUE
20200928,09/28/20,Monday,9,3,2020,FALSE
20200929,09/29/20,Tuesday,9,3,2020,FALSE
20200930,09/30/20,Wednesday,9,3,2020,FALSE
20201001,10/01/20,Thursday,10,4,2020,FALSE
20201002,10/02/20,Friday,10,4,2020,FALSE
20201003,10/03/20,Saturday,10,4,2020,TRUE
20201004,10/04/20,Sunday,10,4,2020,TRUE
20201005,10/05/20,Monday,10,4,2020,FALSE
20201006,10/06/20,Tuesday,10,4,2020,FALSE
20201007,10/07/20,Wednesday,10,4,2020,FALSE
20201008,10/08/20,Thursday,10,4,2020,FALSE
20201009,10/09/20,Friday,10,4,2020,FALSE
20201010,10/10/20,Saturday,10,4,2020,TRUE
20201011,10/11/20,Sunday,10,4,2020,TRUE
20201012,10/12/20,Monday,10,4,2020,FALSE
20201013,10/13/20,Tuesday,10,4,2020,FALSE
20201014,10/14/20,Wednesday,10,4,2020,FALSE
20201015,10/15/20,Thursday,10,4,2020,FALSE
20201016,10/16/20,Friday,10,4,2020,FALSE
20201017,10/17/20,Saturday,10,4,2020,TRUE
20201018,10/18/20,Sunday,10,4,2020,TRUE
20201019,10/19/20,Monday,10,4,2020,FALSE
20201020,10/20/20,Tuesday,10,4,2020,FALSE
20201021,10/21/20,Wednesday,10,4,2020,FALSE
20201022,10/22/20,Thursday,10,4,2020,FALSE
20201023,10/23/20,Friday,10,4,2020,FALSE
20201024,10/24/20,Saturday,10,4,2020,TRUE
20201025,10/25/20,Sunday,10,4,2020,TRUE
20201026,10/26/20,Monday,10,4,2020,FALSE
20201027,10/27/20,Tuesday,10,4,2020,FALSE
20201028,10/28/20,Wednesday,10,4,2020,FALSE
20201029,10/29/20,Thursday,10,4,2020,FALSE
20201030,10/30/20,Friday,10,4,2020,FALSE
20201031,10/31/20,Saturday,10,4,2020,TRUE
20201101,11/01/20,Sunday,11,4,2020,TRUE
20201102,11/02/20,Monday,11,4,2020,FALSE
20201103,11/03/20,Tuesday,11,4,2020,FALSE
20201104,11/04/20,Wednesday,11,4,2020,FALSE
20201105,11/05/20,Thursday,11,4,2020,FALSE
20201106,11/06/20,Friday,11,4,2020,FALSE
20201107,11/07/20,Saturday,11,4,2020,TRUE
20201108,11/08/20,Sunday,11,4,2020,TRUE
20201109,11/09/20,Monday,11,4,2020,FALSE
20201110,11/10/20,Tuesday,11,4,2020,FALSE
20201111,11/11/20,Wednesday,11,4,2020,FALSE
20201112,11/12/20,Thursday,11,4,2020,FALSE
20201113,11/13/20,Friday,11,4,2020,FALSE
20201114,11/14/20,Saturday,11,4,2020,TRUE
20201115,11/15/20,Sunday,11,4,2020,TRUE
20201116,11/16/20,Monday,11,4,2020,FALSE
20201117,11/17/20,Tuesday,11,4,2020,FALSE
20201118,11/18/20,Wednesday,11,4,2020,FALSE
20201119,11/19/20,Thursday,11,4,2020,FALSE
20201120,11/20/20,Friday,11,4,2020,FALSE
20201121,11/21/20,Saturday,11,4,2020,TRUE
20201122,11/22/20,Sunday,11,4,2020,TRUE
20201123,11/23/20,Monday,11,4,2020,FALSE
20201124,11/24/20,Tuesday,11,4,2020,FALSE
20201125,11/25/20,Wednesday,11,4,2020,FALSE
20201126,11/26/20,Thursday,11,4,2020,FALSE
20201127,11/27/20,Friday,11,4,2020,FALSE
20201128,11/28/20,Saturday,11,4,2020,TRUE
20201129,11/29/20,Sunday,11,4,2020,TRUE
20201130,11/30/20,Monday,11,4,2020,FALSE
20201201,12/01/20,Tuesday,12,4,2020,FALSE
20201202,12/02/20,Wednesday,12,4,2020,FALSE
20201203,12/03/20,Thursday,12,4,2020,FALSE
20201204,12/04/20,Friday,12,4,2020,FALSE
20201205,12/05/20,Saturday,12,4,2020,TRUE
20201206,12/06/20,Sunday,12,4,2020,TRUE
20201207,12/07/20,Monday,12,4,2020,FALSE
20201208,12/08/20,Tuesday,12,4,2020,FALSE
20201209,12/09/20,Wednesday,12,4,2020,FALSE
20201210,12/10/20,Thursday,12,4,2020,FALSE
20201211,12/11/20,Friday,12,4,2020,FALSE
20201212,12/12/20,Saturday,12,4,2020,TRUE
20201213,12/13/20,Sunday,12,4,2020,TRUE
20201214,12/14/20,Monday,12,4,2020,FALSE
20201215,12/15/20,Tuesday,12,4,2020,FALSE
20201216,12/16/20,Wednesday,12,4,2020,FALSE
20201217,12/17/20,Thursday,12,4,2020,FALSE
20201218,12/18/20,Friday,12,4,2020,FALSE
20201219,12/19/20,Saturday,12,4,2020,TRUE
20201220,12/20/20,Sunday,12,4,2020,TRUE
20201221,12/21/20,Monday,12,4,2020,FALSE
20201222,12/22/20,Tuesday,12,4,2020,FALSE
20201223,12/23/20,Wednesday,12,4,2020,FALSE
20201224,12/24/20,Thursday,12,4,2020,FALSE
20201225,12/25/20,Friday,12,4,2020,FALSE
20201226,12/26/20,Saturday,12,4,2020,TRUE
20201227,12/27/20,Sunday,12,4,2020,TRUE
20201228,12/28/20,Monday,12,4,2020,FALSE
20201229,12/29/20,Tuesday,12,4,2020,FALSE
20201230,12/30/20,Wednesday,12,4,2020,FALSE
20201231,12/31/20,Thursday,12,4,2020,FALSE
20210101,01/01/21,Friday,1,1,2021,FALSE
20210102,01/02/21,Saturday,1,1,2021,TRUE
20210103,01/03/21,Sunday,1,1,2021,TRUE
20210104,01/04/21,Monday,1,1,2021,FALSE
20210105,01/05/21,Tuesday,1,1,2021,FALSE
20210106,01/06/21,Wednesday,1,1,2021,FALSE
20210107,01/07/21,Thursday,1,1,2021,FALSE
